GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
conversations-engine,statemachine,Transition,0,15,0,0,0,6,0,3,0,3
conversations-engine,statemachine,I18n,0,38,0,2,0,8,0,5,0,4
conversations-engine,statemachine,GenerateSkillStateMachine,0,373,0,34,0,91,0,26,0,9
conversations-engine,statemachine,QuestionTuple,0,15,0,0,0,6,0,3,0,3
conversations-engine,statemachine,PendingQuestions,0,83,0,2,0,18,0,10,0,9
conversations-engine,statemachine,ConversationsEngine,0,1091,3,129,0,312,3,97,0,34
conversations-engine,statemachine,ConversationsEngine.new TimerTask() {...},0,24,1,1,0,5,1,2,0,2
conversations-engine,statemachine,State,0,42,0,4,0,12,0,6,0,4
conversations-engine,statemachine,UserOutput,0,60,0,2,0,21,0,9,0,8
conversations-engine,statemachine,Logging,0,57,0,2,0,20,0,10,0,9
conversations-engine,statemachine,SkillStateMachine,0,174,1,11,0,36,1,13,0,8
